,state,totals
1,ALABAMA,6713
2,ALASKA,1088
3,ARIZONA,7315
4,ARKANSAS,2016
5,CALIFORNIA,19392
6,COLORADO,3757
7,CONNECTICUT,751
8,DELAWARE,836
9,DISTRICT OF COLUMBIA,92
10,FLORIDA,17099
11,GEORGIA,14690
12,GUAM,28
13,HAWAII,77
14,IDAHO,1228
15,ILLINOIS,6171
16,INDIANA,8453
17,IOWA,1812
18,KANSAS,2470
19,KENTUCKY,5455
20,LOUISIANA,8086
21,MAINE,576
22,MARYLAND,3458
23,MASSACHUSETTS,709
24,MICHIGAN,4581
25,MINNESOTA,2488
26,MISSISSIPPI,4839
27,MISSOURI,5632
28,MONTANA,843
29,NEBRASKA,1115
30,NEVADA,4771
31,NEW HAMPSHIRE,582
32,NEW JERSEY,744
33,NEW MEXICO,1903
34,NEW YORK,1978
35,NORTH CAROLINA,10929
36,NORTH DAKOTA,529
37,OHIO,10738
38,OKLAHOMA,2454
39,OREGON,3254
40,PENNSYLVANIA,8612
41,PUERTO RICO,251
42,RHODE ISLAND,257
43,SOUTH CAROLINA,6392
44,SOUTH DAKOTA,534
45,TENNESSEE,7539
46,TEXAS,22804
47,US VIRGIN ISLANDS,26
48,UTAH,1666
49,VERMONT,269
50,VIRGINIA,10190
51,WASHINGTON,3842
52,WEST VIRGINIA,2339
53,WISCONSIN,4355
54,WYOMING,447
