,state,totals
1,ALABAMA,7051
2,ALASKA,1004
3,ARIZONA,8674
4,ARKANSAS,2676
5,CALIFORNIA,18874
6,COLORADO,4128
7,CONNECTICUT,881
8,DELAWARE,862
9,DISTRICT OF COLUMBIA,82
10,FLORIDA,18702
11,GEORGIA,15350
12,GUAM,22
13,HAWAII,92
14,IDAHO,1280
15,ILLINOIS,6585
16,INDIANA,8721
17,IOWA,1992
18,KANSAS,2951
19,KENTUCKY,5702
20,LOUISIANA,8025
21,MAINE,586
22,MARYLAND,4194
23,MASSACHUSETTS,766
24,MICHIGAN,4544
25,MINNESOTA,2638
26,MISSISSIPPI,4930
27,MISSOURI,7437
28,MONTANA,991
29,NEBRASKA,1183
30,NEVADA,4019
31,NEW HAMPSHIRE,709
32,NEW JERSEY,813
33,NEW MEXICO,2264
34,NEW YORK,1871
35,NORTH CAROLINA,11167
36,NORTH DAKOTA,604
37,OHIO,10947
38,OKLAHOMA,3060
39,OREGON,3694
40,PENNSYLVANIA,8828
41,PUERTO RICO,244
42,RHODE ISLAND,256
43,SOUTH CAROLINA,6979
44,SOUTH DAKOTA,577
45,TENNESSEE,8267
46,TEXAS,24844
47,US VIRGIN ISLANDS,12
48,UTAH,1889
49,VERMONT,341
50,VIRGINIA,10918
51,WASHINGTON,4123
52,WEST VIRGINIA,2374
53,WISCONSIN,4558
54,WYOMING,419
