,state,totals
1,ALABAMA,5254
2,ALASKA,877
3,ARIZONA,7785
4,ARKANSAS,1564
5,CALIFORNIA,18192
6,COLORADO,2835
7,CONNECTICUT,558
8,DELAWARE,674
9,DISTRICT OF COLUMBIA,67
10,FLORIDA,14305
11,GEORGIA,10891
12,GUAM & NORTHERN MARIANA ISLANDS,19
13,HAWAII,77
14,IDAHO,908
15,ILLINOIS,5212
16,INDIANA,6184
17,IOWA,1353
18,KANSAS,1960
19,KENTUCKY,3422
20,LOUISIANA,6082
21,MAINE,498
22,MARYLAND,3553
23,MASSACHUSETTS,663
24,MICHIGAN,4015
25,MINNESOTA,1869
26,MISSISSIPPI,3695
27,MISSOURI,4223
28,MONTANA,770
29,NEBRASKA,984
30,NEVADA,2281
31,NEW HAMPSHIRE,493
32,NEW JERSEY,770
33,NEW MEXICO,1924
34,NEW YORK,1964
35,NORTH CAROLINA,8866
36,NORTH DAKOTA,409
37,OHIO,8276
38,OKLAHOMA,1775
39,OREGON,2659
40,PENNSYLVANIA,7043
41,PUERTO RICO,163
42,RHODE ISLAND,201
43,SOUTH CAROLINA,4399
44,SOUTH DAKOTA,426
45,TENNESSEE,5369
46,TEXAS,17322
47,US VIRGIN ISLANDS,31
48,UTAH,1178
49,VERMONT,284
50,VIRGINIA,7771
51,WASHINGTON,3116
52,WEST VIRGINIA,1766
53,WISCONSIN,3230
54,WYOMING,333
