,state,totals
1,ALABAMA,7873
2,ALASKA,1127
3,ARIZONA,9563
4,ARKANSAS,3265
5,CALIFORNIA,18486
6,COLORADO,4331
7,CONNECTICUT,696
8,DELAWARE,969
9,DISTRICT OF COLUMBIA,115
10,FLORIDA,19522
11,GEORGIA,16428
12,GUAM & NORTHERN MARIANA ISLANDS,17
13,HAWAII,121
14,IDAHO,1363
15,ILLINOIS,7144
16,INDIANA,9480
17,IOWA,2073
18,KANSAS,2728
19,KENTUCKY,6198
20,LOUISIANA,8521
21,MAINE,650
22,MARYLAND,3645
23,MASSACHUSETTS,602
24,MICHIGAN,5046
25,MINNESOTA,2677
26,MISSISSIPPI,5046
27,MISSOURI,8401
28,MONTANA,877
29,NEBRASKA,1266
30,NEVADA,5514
31,NEW HAMPSHIRE,751
32,NEW JERSEY,805
33,NEW MEXICO,2742
34,NEW YORK,1658
35,NORTH CAROLINA,12697
36,NORTH DAKOTA,650
37,OHIO,11891
38,OKLAHOMA,2956
39,OREGON,3970
40,PENNSYLVANIA,9467
41,PUERTO RICO,230
42,RHODE ISLAND,232
43,SOUTH CAROLINA,7467
44,SOUTH DAKOTA,571
45,TENNESSEE,8892
46,TEXAS,24825
47,US VIRGIN ISLANDS,11
48,UTAH,2258
49,VERMONT,300
50,VIRGINIA,11516
51,WASHINGTON,4125
52,WEST VIRGINIA,2548
53,WISCONSIN,4472
54,WYOMING,472
