,state,totals
1,ALABAMA,5191
2,ALASKA,768
3,ARIZONA,6606
4,ARKANSAS,1287
5,CALIFORNIA,16999
6,COLORADO,2524
7,CONNECTICUT,799
8,DELAWARE,657
9,DISTRICT OF COLUMBIA,73
10,FLORIDA,14136
11,GEORGIA,9989
12,GUAM & NORTHERN MARIANA ISLANDS,25
13,HAWAII,62
14,IDAHO,830
15,ILLINOIS,4465
16,INDIANA,5532
17,IOWA,1149
18,KANSAS,1688
19,KENTUCKY,3107
20,LOUISIANA,5405
21,MAINE,406
22,MARYLAND,3537
23,MASSACHUSETTS,630
24,MICHIGAN,3557
25,MINNESOTA,1571
26,MISSISSIPPI,2957
27,MISSOURI,3596
28,MONTANA,571
29,NEBRASKA,776
30,NEVADA,2555
31,NEW HAMPSHIRE,427
32,NEW JERSEY,721
33,NEW MEXICO,1362
34,NEW YORK,1970
35,NORTH CAROLINA,7605
36,NORTH DAKOTA,637
37,OHIO,7932
38,OKLAHOMA,1623
39,OREGON,2606
40,PENNSYLVANIA,7026
41,PUERTO RICO,346
42,RHODE ISLAND,224
43,SOUTH CAROLINA,4035
44,SOUTH DAKOTA,248
45,TENNESSEE,3919
46,TEXAS,12631
47,US VIRGIN ISLANDS,29
48,UTAH,1059
49,VERMONT,195
50,VIRGINIA,6756
51,WASHINGTON,2830
52,WEST VIRGINIA,1412
53,WISCONSIN,2992
54,WYOMING,311
