,state,totals
1,ALABAMA,8199
2,ALASKA,907
3,ARIZONA,12361
4,ARKANSAS,3516
5,CALIFORNIA,17086
6,COLORADO,4918
7,CONNECTICUT,607
8,DELAWARE,1203
9,DISTRICT OF COLUMBIA,91
10,FLORIDA,22285
11,GEORGIA,19120
12,GUAM & NORTHERN MARIANA ISLANDS,20
13,HAWAII,66
14,IDAHO,1417
15,ILLINOIS,7116
16,INDIANA,9684
17,IOWA,2183
18,KANSAS,3360
19,KENTUCKY,6180
20,LOUISIANA,9446
21,MAINE,774
22,MARYLAND,3460
23,MASSACHUSETTS,584
24,MICHIGAN,8891
25,MINNESOTA,2838
26,MISSISSIPPI,6067
27,MISSOURI,8639
28,MONTANA,1220
29,NEBRASKA,1412
30,NEVADA,6224
31,NEW HAMPSHIRE,873
32,NEW JERSEY,718
33,NEW MEXICO,3104
34,NEW YORK,1476
35,NORTH CAROLINA,14761
36,NORTH DAKOTA,741
37,OHIO,14584
38,OKLAHOMA,3753
39,OREGON,4215
40,PENNSYLVANIA,10361
41,PUERTO RICO,85
42,RHODE ISLAND,242
43,SOUTH CAROLINA,9679
44,SOUTH DAKOTA,668
45,TENNESSEE,10210
46,TEXAS,32347
47,US VIRGIN ISLANDS,31
48,UTAH,2683
49,VERMONT,398
50,VIRGINIA,13083
51,WASHINGTON,4320
52,WEST VIRGINIA,2731
53,WISCONSIN,5300
54,WYOMING,449
